date,latitude [°],longitude [°],VV [dB],VH [dB],angle [degrees],precipitation [mm],elevation [m]
2024-01-01,38.09,-84.75,-11.920238411715168,-26.57271412288428,30.446727752685547,0.0,258
2024-01-06,37.25,-86.23,-9.97254648553955,-13.381967761410111,33.168460845947266,9.237837791442873,231
2024-01-06,38.09,-84.75,-12.778516517958348,-24.697451274036496,41.969181060791016,15.178404808044434,258
2024-01-11,37.25,-86.23,-6.5190377433451765,-14.262859339381963,43.95873260498047,0.0,231
2024-01-18,37.25,-86.23,-8.453159250848971,-17.009127264095294,33.165000915527344,0.0,231
2024-01-18,38.09,-84.75,-15.344591474046982,-24.540012640027825,41.966068267822266,3.010170221328736,258
2024-01-23,37.25,-86.23,-8.35138594156787,-13.462296252685585,43.95862579345703,4.29615592956543,231
2024-01-25,38.09,-84.75,-8.719025656884785,-13.60338210299705,30.4466552734375,10.896753311157228,258
2024-01-30,37.25,-86.23,-6.662523537288992,-13.893901051036616,33.16607666015625,0.0,231
2024-01-30,38.09,-84.75,-12.420417872957666,-21.12610318868594,41.967041015625,0.0,258
2024-02-04,37.25,-86.23,-10.160159527028616,-12.825712783353902,43.958534240722656,0.0,231
2024-02-06,38.09,-84.75,-11.655621856893756,-32.12740024779898,30.44730758666992,0.0,258
2024-02-11,37.25,-86.23,-11.986405183093058,-12.206867409838724,33.16661071777344,24.53257942199707,231
2024-02-11,38.09,-84.75,-12.024605530462429,-26.92083588894145,41.96755599975586,10.877906799316406,258
2024-02-16,37.25,-86.23,-9.04568388971255,-15.479621468950802,43.95915985107422,0.0,231
2024-02-18,38.09,-84.75,-11.636105677376676,-29.20173201708238,30.44823265075684,0.0,258
2024-02-23,37.25,-86.23,-7.719361511028618,-14.390818479342588,33.16844177246094,8.221250534057617,231
2024-02-23,38.09,-84.75,-13.808269097086484,-19.16856507768766,41.96920394897461,0.0,258
2024-02-28,37.25,-86.23,-10.522351859663193,-12.816444190861,43.95880126953125,10.96877670288086,231
2024-03-01,38.09,-84.75,-9.195866691193991,-21.24551196007712,30.44858932495117,6.914513111114502,258
2024-03-06,37.25,-86.23,-7.554486420905361,-14.772150626564397,33.16917419433594,0.0,231
2024-03-06,38.09,-84.75,-11.546907615067587,-21.005430130738723,41.96987533569336,14.512762069702148,258
2024-03-11,37.25,-86.23,-10.537372049076698,-14.206999621551349,43.96073532104492,0.0,231
2024-03-13,38.09,-84.75,-8.677911861725459,-14.912091649037576,30.450437545776367,0.0,258
2024-03-18,37.25,-86.23,-8.603149249899886,-15.991423309821688,33.16958236694336,0.0,231
2024-03-18,38.09,-84.75,-12.780166576614343,-19.925474398493048,41.97026062011719,0.0,258
2024-03-23,37.25,-86.23,-10.9800403005441,-15.92701928986838,43.96141052246094,0.0,231
2024-03-25,38.09,-84.75,-8.854158117925166,-22.616680716464,30.45323944091797,0.0,258
2024-03-30,37.25,-86.23,-7.990138826988762,-13.622295741511998,33.17433547973633,0.0,231
2024-03-30,38.09,-84.75,-11.539419110346811,-18.01220945087749,41.9744758605957,0.0,258
2024-04-04,37.25,-86.23,-13.776053690852436,-11.50923581152459,43.966400146484375,0.0,231
2024-04-06,38.09,-84.75,-8.767743020876134,-16.677408452503695,30.45649147033692,0.0,258
2024-04-11,37.25,-86.23,-9.191783493011178,-16.28156129566394,33.17548370361328,15.210410118103027,231
2024-04-11,38.09,-84.75,-10.063964367375334,-18.195829789996218,41.97550582885742,31.662309646606445,258
2024-04-16,37.25,-86.23,-10.561206273644716,-13.764296863395366,43.96467971801758,4.690153121948242,231
2024-04-18,38.09,-84.75,-13.85865848604774,-26.27861151435606,30.45579719543457,0.0,258
2024-04-23,37.25,-86.23,-8.670438455371752,-17.65390276098711,33.1749153137207,0.0,231
2024-04-23,38.09,-84.75,-10.933105709157324,-17.459051226927407,41.97496795654297,0.0,258
2024-04-28,37.25,-86.23,-8.367279036592594,-18.127749591438583,43.96522903442383,0.0,231
2024-04-30,38.09,-84.75,-11.534304329581037,-18.888765168834865,30.455739974975582,18.946840286254883,258
2024-05-05,37.25,-86.23,-11.010344942179945,-16.383725532096804,33.17438125610352,0.0,231
2024-05-05,38.09,-84.75,-12.983643280516077,-16.001763414722692,41.97450637817383,0.0,258
2024-05-12,38.09,-84.75,-12.86405139319845,-15.313647619832144,30.458126068115234,0.0,258
2024-05-17,37.25,-86.23,-7.042094089513896,-14.7161251395012,33.17286682128906,10.192496299743652,231
2024-05-17,38.09,-84.75,-12.422859743128951,-18.862494261924155,41.97316360473633,9.375154495239258,258
2024-05-22,37.25,-86.23,-8.588097555456072,-13.81258036521763,43.96306228637695,9.415457725524902,231
2024-05-29,37.25,-86.23,-13.542711441652491,-14.877840480813374,33.17539596557617,0.0,231
2024-05-29,38.09,-84.75,-11.205109228583748,-18.33759742591145,41.97541809082031,0.0,258
2024-06-10,37.25,-86.23,-10.795790236880842,-16.537124467088834,33.175025939941406,0.0,231
2024-06-10,38.09,-84.75,-11.107965466909812,-17.6372241356211,41.97509002685547,0.0,258
2024-06-22,37.25,-86.23,-9.073187382322326,-12.72278734355909,33.17542266845703,0.0,231
2024-06-22,38.09,-84.75,-15.057203098967976,-16.514597508068828,41.97544097900391,0.0,258
2024-06-29,38.09,-84.75,-15.29298201756746,-22.206634527034733,30.452787399291992,0.0,258
2024-07-04,37.25,-86.23,-10.448031147598847,-15.283992538617564,33.169921875,22.84447860717773,231
2024-07-04,38.09,-84.75,-8.717226821762946,-16.95673360374861,41.97054290771485,12.069292068481444,258
2024-07-09,37.25,-86.23,-13.237486238162624,-15.20360462683949,43.96171188354492,0.0,231
2024-07-16,37.25,-86.23,-8.929654832661697,-17.322786682626525,33.170799255371094,0.0,231
2024-07-16,38.09,-84.75,-6.825541890032207,-13.737196391597736,41.97134399414063,0.0,258
2024-07-21,37.25,-86.23,-10.988418874980873,-14.558785210534896,43.96226119995117,0.0,231
2024-07-28,37.25,-86.23,-7.050835063365407,-18.87916252503712,33.17151641845703,34.94123840332031,231
2024-07-28,38.09,-84.75,-12.904157844487385,-17.565332860636612,41.97196960449219,33.8677864074707,258
