VV [dB],VH [dB],angle [degrees],precipitation [mm],elevation [m],VV-VH [dB],VV/VH [dB],SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY
-11.920238411715168,-26.57271412288428,30.446727752685547,0.0,258,14.65247571116911,0.4485894198308303,0.337,0.314,0.339,0.252,0.093
-12.778516517958348,-24.697451274036496,41.969181060791016,15.178404808044434,258,11.918934756078148,0.5174022362134154,0.369,0.338,0.35,0.283,0.094
-8.453159250848971,-17.009127264095294,33.165000915527344,0.0,231,8.555968013246323,0.4969778354644223,0.369,0.322,0.332,0.376,0.408
-8.35138594156787,-13.462296252685585,43.95862579345703,4.29615592956543,231,5.110910311117715,0.6203537483363477,0.395,0.347,0.341,0.379,0.41
-8.719025656884785,-13.60338210299705,30.4466552734375,10.896753311157228,258,4.884356446112266,0.6409454348094684,0.389,0.367,0.368,0.31,0.181
-6.662523537288992,-13.893901051036616,33.16607666015625,0.0,231,7.231377513747624,0.4795286444617298,0.38,0.333,0.339,0.389,0.418
-12.420417872957666,-21.12610318868594,41.967041015625,0.0,258,8.705685315728273,0.5879180728232648,0.368,0.347,0.359,0.289,0.168
-10.160159527028616,-12.825712783353902,43.958534240722656,0.0,231,2.6655532563252855,0.7921711407895532,0.36,0.319,0.331,0.384,0.417
-11.655621856893756,-32.12740024779898,30.44730758666992,0.0,258,20.471778390905225,0.3627938073729533,0.33,0.319,0.344,0.275,0.159
-11.986405183093058,-12.206867409838724,33.16661071777344,24.53257942199707,231,0.2204622267456653,0.9819394919807212,0.399,0.352,0.343,0.382,0.42
-12.024605530462429,-26.92083588894145,41.96755599975586,10.877906799316406,258,14.896230358479022,0.4466653851339698,0.384,0.353,0.356,0.271,0.154
-9.04568388971255,-15.479621468950802,43.95915985107422,0.0,231,6.433937579238252,0.5843607938253841,0.381,0.332,0.336,0.385,0.421
-11.636105677376676,-29.20173201708238,30.44823265075684,0.0,258,17.565626339705705,0.3984731340788213,0.374,0.351,0.36,0.286,0.165
-7.719361511028618,-14.390818479342588,33.16844177246094,8.221250534057617,231,6.67145696831397,0.5364087888475165,0.383,0.338,0.335,0.382,0.42
-13.808269097086484,-19.16856507768766,41.96920394897461,0.0,258,5.360295980601176,0.7203600812644763,0.383,0.36,0.367,0.302,0.173
-10.522351859663193,-12.816444190861,43.95880126953125,10.96877670288086,231,2.294092331197808,0.8210039932266352,0.385,0.345,0.34,0.392,0.424
-9.195866691193991,-21.24551196007712,30.44858932495117,6.914513111114502,258,12.049645268883129,0.43283808403742563,0.376,0.347,0.36,0.288,0.169
-7.554486420905361,-14.772150626564397,33.16917419433594,0.0,231,7.217664205659036,0.5114005815321374,0.399,0.359,0.353,0.415,0.425
-11.546907615067587,-21.005430130738723,41.96987533569336,14.512762069702148,258,9.458522515671136,0.5497106006970162,0.402,0.368,0.37,0.301,0.179
-10.537372049076698,-14.206999621551349,43.96073532104492,0.0,231,3.669627572474651,0.7417028457642809,0.372,0.33,0.337,0.386,0.425
-8.677911861725459,-14.912091649037576,30.450437545776367,0.0,258,6.234179787312117,0.5819379377463476,0.341,0.325,0.349,0.277,0.168
-8.603149249899886,-15.991423309821688,33.16958236694336,0.0,231,7.388274059921802,0.5379852113986604,0.357,0.322,0.332,0.384,0.424
-12.780166576614343,-19.925474398493048,41.97026062011719,0.0,258,7.1453078218787045,0.6413983587553077,0.354,0.333,0.353,0.281,0.169
-10.9800403005441,-15.92701928986838,43.96141052246094,0.0,231,4.946978989324279,0.6893970617294857,0.349,0.31,0.326,0.381,0.421
-8.854158117925166,-22.616680716464,30.45323944091797,0.0,258,13.762522598538833,0.39148795656295,0.276,0.289,0.329,0.267,0.164
-7.990138826988762,-13.622295741511998,33.17433547973633,0.0,231,5.632156914523236,0.5865486242997908,0.34,0.307,0.325,0.378,0.422
-11.539419110346811,-18.01220945087749,41.9744758605957,0.0,258,6.472790340530677,0.6406442886319342,0.259,0.275,0.319,0.257,0.158
-13.776053690852436,-11.50923581152459,43.966400146484375,0.0,231,-2.2668178793278457,1.1969564197353575,0.372,0.328,0.331,0.376,0.424
-8.767743020876134,-16.677408452503695,30.45649147033692,0.0,258,7.909665431627561,0.5257257472494101,0.356,0.336,0.353,0.281,0.167
-9.191783493011178,-16.28156129566394,33.17548370361328,15.210410118103027,231,7.089777802652764,0.5645517236396185,0.416,0.38,0.374,0.431,0.427
-10.063964367375334,-18.195829789996218,41.97550582885742,31.662309646606445,258,8.131865422620884,0.5530918063933717,0.415,0.385,0.379,0.315,0.185
-10.561206273644716,-13.764296863395366,43.96467971801758,4.690153121948242,231,3.2030905897506496,0.7672899225045838,0.33,0.302,0.324,0.377,0.424
-13.85865848604774,-26.27861151435606,30.45579719543457,0.0,258,12.41995302830832,0.5273740767649282,0.283,0.291,0.333,0.267,0.167
-8.670438455371752,-17.65390276098711,33.1749153137207,0.0,231,8.983464305615357,0.49113437253842385,0.322,0.297,0.32,0.375,0.423
-10.933105709157324,-17.459051226927407,41.97496795654297,0.0,258,6.525945517770083,0.626214194978419,0.247,0.262,0.314,0.253,0.165
-8.367279036592594,-18.127749591438583,43.96522903442383,0.0,231,9.76047055484599,0.4615729599742658,0.3,0.281,0.311,0.369,0.423
